,post,lang,age_group,proximal,medial,distal
64,テスラ凄いのか？無傷ってそれとも自動操縦バグ？,jp,2,0,1,0
65,これがホンマの空飛ぶ車,jp,2,1,0,0
66,こんな事故を起こすのは中国オリティーだろ。それでテスラの安全性は凄いな。日本車並じゃん。,jp,2,0,1,0
67,これが噂の空飛ぶ車か,jp,2,1,0,0
68,これは中国オハコ芸の大芸道😂,jp,2,1,0,0
69,これは元がいいんよな,jp,1,1,0,0
70,これはもっと再生回数が必要だ、過小評価されている！,jp,1,1,0,0
71,元がいいからこれ出来るんだよ,jp,1,1,0,0
72,これ戻ってきたって思っていい？,jp,1,1,0,0
73,これでオデも地雷男子👦,jp,1,1,0,0
74,めっちゃ顔好み！元から完成されておりますね！ぷあちゃんの投稿全部好きすぎて毎日見てます！これ参考にさせてもらってメイク頑張ってみます！,jp,1,1,0,0
75,これみてメイクした今日！！,jp,1,1,0,0
76,これ簡単なぜかというと　両方に2拍子以上がない,jp,1,1,0,0
77,ごめん私にはこれですら上級(),jp,1,1,0,0
78,えwこれで初球は厳しい😂片手しかできないw,jp,1,1,0,0
79,これ学校でやらされたわ~,jp,1,1,0,0
80,これ両方終わるまで待つの？普通、どんどん下に進んでくんじゃないの？,jp,1,1,0,0
81,これは簡単や(　˙▿˙　)☝,jp,1,1,0,0
82,リズムはわかるけどそれぞれの手で違うリズム打てない笑笑,jp,1,0,1,0
83,めちゃくちゃに長いネイルバチバチの爪で叩いてるのかと思ったらスティックか…びっくりしたしこれができるのも凄い,jp,1,1,0,0
84,これを今簡単だと思える自分はちゃんとドラムの練習をしてきたからだと確信した。,jp,1,1,0,0
85,これピアノ教室でやってたな,jp,1,1,0,0
86,これ片方が多い時もう片方ひとつだから未経験でもできたけど、両方とも何個かとかだと絶対出来ん自信ある,jp,1,1,0,0
87,これ学校のテストにあるんだがwww.,jp,1,1,0,0
88,これできるとドラムもできるようになる,jp,1,1,0,0
89,ピアノ習ってた時これさせられてた懐かしい,jp,1,1,0,0
90,これ一人でやってる？！,jp,1,1,0,0
91,これ右手と左手2つで捉えるからむずいだけで1つで捉えたら意外と簡単なんよー,jp,1,1,0,0
92,まぁこれくらいなら余裕,jp,1,1,0,0
93,ピアノ習ってた時これさせられてた懐かしい,jp,1,1,0,0
94,これ一人でやってる？！,jp,1,1,0,0
95,これ学校のテストにあるんだがwww.,jp,1,1,0,0
